user_id,address
294711c8-9deb-4c59-b884-923604eec973,"8371C Cooper St., Faribault, MN 55021"
cc447dd3-5511-4511-9d38-f311e91012fc,"9245 Sherman St., Harrisburg, PA 17109"
d20f89ac-1076-44b6-8f00-89fec90fb0e3,"9359 Williams St., Massillon, OH 44646"
0fa80447-140d-44d9-b306-44608834f409,"39 North Piper Drive, Longview, TX 75604"
897567d5-95da-43ae-b692-641841701284,"9087 Taylor Street, Morganton, NC 28655"
ec4cff02-d4a1-403d-8de6-a4b4980d5b15,"718 Amerige Drive, Baltimore, MD 21206"
6e320c5c-a52a-4f8a-a9f0-494d511fbb2f,"31 Strawberry Drive, Fair Lawn, NJ 07410"
b99fe071-95ae-4218-a04a-d44fc4c23177,"8549 South Nut Swamp Road, Ashtabula, OH 44004"
80d86e9e-98d9-476b-a6e1-3064d29ec4af,"242 Pennington Street, Goose Creek, SC 29445"
bdd81d22-03c7-4549-b943-506dab0c8f5a,"8644 Bishop Street, Ypsilanti, MI 48197"
576113b5-465b-49ff-a332-3846672ddac8,"744 Cleveland Dr., Hope Mills, NC 28348"
9ad82f64-7ce9-4985-a828-1ddfb075475d,"8063 Locust Dr., Suffolk, VA 23434"
d187764b-f991-40a0-80ac-759b5898bf32,"70 North Taylor Road, Fort Myers, FL 33905"
acda2bd3-e92f-4af5-b6fe-dfb94c0de1e8,"7419 Old York Dr., Deerfield Beach, FL 33442"
e81ee10a-f685-4d56-95e9-5d2b2ac61ca7,"94 West Kent Circle, Rockford, MI 49341"
43f68597-72f9-4ca8-96d1-a6e0057922f7,"562 W. Locust Street, Zion, IL 60099"
61226997-9551-4f2c-b1bb-aec1344a7bd1,"708 Miller Street, Smithtown, NY 11787"
10826141-4019-46b3-b10f-ddbecdecdb3f,"189 Cedarwood Street, State College, PA 16801"
c8fe8a90-4ac6-4181-b01b-25d4a665254d,"590 W. Corona St., Crofton, MD 21114"
594aa509-ec03-42c3-80ce-0d01c1f83e6b,"7723 Sulphur Springs Drive, Little Rock, AR 72209"
1bd635be-5989-48f6-8dae-5e9d34e410b7,"20 Leatherwood Road, El Paso, TX 79930"
e0a7ada4-d310-4223-a821-6790179cede9,"356 W. Pine Street, Parkersburg, WV 26101"
dddad555-fe2b-414f-922e-5361b06bc984,"9466 Wakehurst Dr., Southgate, MI 48195"
74be9799-e14d-4a72-9e71-8c483143b15e,"8927 Rose Street, Muncie, IN 47302"
219f926e-778a-4c6e-8320-a900fab47ce6,"9745 Alton St., Frankfort, KY 40601"
bf65511c-0071-4956-80b5-7c8ac7f79aa7,"8400 William Rd., Pasadena, MD 21122"
2e30dd23-19a0-4882-a542-42af7f95f822,"12 County Street, Chippewa Falls, WI 54729"
cd51c68a-f0c9-4d85-95dc-b5e76f0e5c8b,"66 Center St., Fayetteville, NC 28303"
6049efa2-cd02-4ee4-aa39-96b63cc69c54,"1 Rock Maple Road, Fort Lee, NJ 07024"
05cf20a3-a7db-47d8-b118-54333b7578f0,"8820 Lantern Dr., Southaven, MS 38671"
