user_id,phone
294711c8-9deb-4c59-b884-923604eec973,+1 231-685-5980
cc447dd3-5511-4511-9d38-f311e91012fc,+1 505-644-0772
d20f89ac-1076-44b6-8f00-89fec90fb0e3,+1 505-644-7057
0fa80447-140d-44d9-b306-44608834f409,+1 505-644-6653
897567d5-95da-43ae-b692-641841701284,+1 408-972-5371
ec4cff02-d4a1-403d-8de6-a4b4980d5b15,+1 308-833-0242
6e320c5c-a52a-4f8a-a9f0-494d511fbb2f,+1 505-480-2804
b99fe071-95ae-4218-a04a-d44fc4c23177,+1 202-715-9505
80d86e9e-98d9-476b-a6e1-3064d29ec4af,+1 352-916-2158
bdd81d22-03c7-4549-b943-506dab0c8f5a,+1 582-322-4776
576113b5-465b-49ff-a332-3846672ddac8,+1 203-442-9427
9ad82f64-7ce9-4985-a828-1ddfb075475d,+1 582-400-5571
d187764b-f991-40a0-80ac-759b5898bf32,+1 505-668-4916
acda2bd3-e92f-4af5-b6fe-dfb94c0de1e8,+1 582-529-3180
e81ee10a-f685-4d56-95e9-5d2b2ac61ca7,+1 206-771-2829
43f68597-72f9-4ca8-96d1-a6e0057922f7,+1 582-529-0090
61226997-9551-4f2c-b1bb-aec1344a7bd1,+1 321-907-6125
10826141-4019-46b3-b10f-ddbecdecdb3f,+1 582-300-4848
c8fe8a90-4ac6-4181-b01b-25d4a665254d,+1 212-604-1163
594aa509-ec03-42c3-80ce-0d01c1f83e6b,+1 505-644-3301
1bd635be-5989-48f6-8dae-5e9d34e410b7,+1 347-355-8185
e0a7ada4-d310-4223-a821-6790179cede9,+1 410-760-3572
dddad555-fe2b-414f-922e-5361b06bc984,+1 312-535-2410
74be9799-e14d-4a72-9e71-8c483143b15e,+1 409-883-2859
219f926e-778a-4c6e-8320-a900fab47ce6,+1 505-774-4893
bf65511c-0071-4956-80b5-7c8ac7f79aa7,+1 508-981-2129
2e30dd23-19a0-4882-a542-42af7f95f822,+1 414-751-8896
cd51c68a-f0c9-4d85-95dc-b5e76f0e5c8b,+1 582-201-6923
6049efa2-cd02-4ee4-aa39-96b63cc69c54,+1 217-793-9023
05cf20a3-a7db-47d8-b118-54333b7578f0,+1 503-402-8213
